"Path","LineNumber","Line"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\input_tokens.py","230","              [reasoning models](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\input_tokens.py","267","                    ""reasoning"": reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","75","from ...types.shared_params.reasoning import Reasoning"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","150","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","209","              - `reasoning.encrypted_content`: Includes an encrypted version of reasoning"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","210","                tokens in reasoning item outputs. This enables reasoning items to be used in"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","233","              [reasoning tokens](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","272","          reasoning: **gpt-5 and o-series models only**"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","275","              [reasoning models](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","401","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","466","              - `reasoning.encrypted_content`: Includes an encrypted version of reasoning"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","467","                tokens in reasoning item outputs. This enables reasoning items to be used in"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","490","              [reasoning tokens](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","529","          reasoning: **gpt-5 and o-series models only**"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","532","              [reasoning models](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","651","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","716","              - `reasoning.encrypted_content`: Includes an encrypted version of reasoning"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","717","                tokens in reasoning item outputs. This enables reasoning items to be used in"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","740","              [reasoning tokens](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","779","          reasoning: **gpt-5 and o-series models only**"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","782","              [reasoning models](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","899","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","939","                    ""reasoning"": reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1006","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1047","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1082","            ""reasoning"": reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1144","                reasoning=reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1198","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1257","                    ""reasoning"": reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1856","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1915","              - `reasoning.encrypted_content`: Includes an encrypted version of reasoning"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1916","                tokens in reasoning item outputs. This enables reasoning items to be used in"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1939","              [reasoning tokens](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1978","          reasoning: **gpt-5 and o-series models only**"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","1981","              [reasoning models](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2107","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2172","              - `reasoning.encrypted_content`: Includes an encrypted version of reasoning"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2173","                tokens in reasoning item outputs. This enables reasoning items to be used in"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2196","              [reasoning tokens](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2235","          reasoning: **gpt-5 and o-series models only**"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2238","              [reasoning models](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2357","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2422","              - `reasoning.encrypted_content`: Includes an encrypted version of reasoning"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2423","                tokens in reasoning item outputs. This enables reasoning items to be used in"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2446","              [reasoning tokens](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2485","          reasoning: **gpt-5 and o-series models only**"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2488","              [reasoning models](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2605","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2645","                    ""reasoning"": reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2712","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2753","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2788","            ""reasoning"": reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2849","                reasoning=reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2908","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","2967","                    ""reasoning"": reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","4605","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","4641","                        ""reasoning"": reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","4685","        reasoning: Optional[Reasoning] | Omit = omit,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\responses\responses.py","4721","                        ""reasoning"": reasoning,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\completions.py","165","          stop: Not supported with latest reasoning models `o3` and `o4-mini`."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\completions.py","330","          stop: Not supported with latest reasoning models `o3` and `o4-mini`."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\completions.py","488","          stop: Not supported with latest reasoning models `o3` and `o4-mini`."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\completions.py","732","          stop: Not supported with latest reasoning models `o3` and `o4-mini`."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\completions.py","897","          stop: Not supported with latest reasoning models `o3` and `o4-mini`."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\completions.py","1055","          stop: Not supported with latest reasoning models `o3` and `o4-mini`."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","12","from ...shared.reasoning_effort import ReasoningEffort"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","110","    reasoning_effort: Optional[ReasoningEffort]"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","112","    Constrains effort on reasoning for"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","113","    [reasoning models](https://platform.openai.com/docs/guides/reasoning). Currently"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","115","    Reducing reasoning effort can result in faster responses and fewer tokens used"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","116","    on reasoning in a response."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","118","    - `gpt-5.1` defaults to `none`, which does not perform reasoning. The supported"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","119","      reasoning values for `gpt-5.1` are `none`, `low`, `medium`, and `high`. Tool"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","120","      calls are supported for all reasoning values in gpt-5.1."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","121","    - All models before `gpt-5.1` default to `medium` reasoning effort, and do not"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\threads\run_create_params.py","123","    - The `gpt-5-pro` model defaults to (and only supports) `high` reasoning effort."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","12","from ..shared.reasoning_effort import ReasoningEffort"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","61","    reasoning_effort: Optional[ReasoningEffort]"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","63","    Constrains effort on reasoning for"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","64","    [reasoning models](https://platform.openai.com/docs/guides/reasoning). Currently"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","66","    Reducing reasoning effort can result in faster responses and fewer tokens used"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","67","    on reasoning in a response."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","69","    - `gpt-5.1` defaults to `none`, which does not perform reasoning. The supported"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","70","      reasoning values for `gpt-5.1` are `none`, `low`, `medium`, and `high`. Tool"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","71","      calls are supported for all reasoning values in gpt-5.1."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","72","    - All models before `gpt-5.1` default to `medium` reasoning effort, and do not"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_create_params.py","74","    - The `gpt-5-pro` model defaults to (and only supports) `high` reasoning effort."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","11","from ..shared.reasoning_effort import ReasoningEffort"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","96","    reasoning_effort: Optional[ReasoningEffort]"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","98","    Constrains effort on reasoning for"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","99","    [reasoning models](https://platform.openai.com/docs/guides/reasoning). Currently"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","101","    Reducing reasoning effort can result in faster responses and fewer tokens used"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","102","    on reasoning in a response."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","104","    - `gpt-5.1` defaults to `none`, which does not perform reasoning. The supported"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","105","      reasoning values for `gpt-5.1` are `none`, `low`, `medium`, and `high`. Tool"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","106","      calls are supported for all reasoning values in gpt-5.1."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","107","    - All models before `gpt-5.1` default to `medium` reasoning effort, and do not"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\beta\assistant_update_params.py","109","    - The `gpt-5-pro` model defaults to (and only supports) `high` reasoning effort."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\__init__.py","30","from .chat_completion_reasoning_effort import ChatCompletionReasoningEffort as ChatCompletionReasoningEffort"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\chat_completion_reasoning_effort.py","3","from ..shared.reasoning_effort import ReasoningEffort"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\chat_completion_reasoning_effort.py","5","__all__ = [""ChatCompletionReasoningEffort""]"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\chat_completion_reasoning_effort.py","7","ChatCompletionReasoningEffort = ReasoningEffort"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","11","from ..shared.reasoning_effort import ReasoningEffort"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","116","    [reasoning tokens](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","127","    [o-series models](https://platform.openai.com/docs/guides/reasoning)."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","196","    reasoning_effort: Optional[ReasoningEffort]"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","198","    Constrains effort on reasoning for"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","199","    [reasoning models](https://platform.openai.com/docs/guides/reasoning). Currently"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","201","    Reducing reasoning effort can result in faster responses and fewer tokens used"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","202","    on reasoning in a response."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","204","    - `gpt-5.1` defaults to `none`, which does not perform reasoning. The supported"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","205","      reasoning values for `gpt-5.1` are `none`, `low`, `medium`, and `high`. Tool"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","206","      calls are supported for all reasoning values in gpt-5.1."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","207","    - All models before `gpt-5.1` default to `medium` reasoning effort, and do not"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","209","    - The `gpt-5-pro` model defaults to (and only supports) `high` reasoning effort."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\chat\completion_create_params.py","265","    """"""Not supported with latest reasoning models `o3` and `o4-mini`."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\conversation_item.py","9","from ..responses.response_reasoning_item import ResponseReasoningItem"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\conversation_item.py","237","        ResponseReasoningItem,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\item_list_params.py","32","    - `reasoning.encrypted_content`: Includes an encrypted version of reasoning"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\item_list_params.py","33","      tokens in reasoning item outputs. This enables reasoning items to be used in"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\message.py","17","__all__ = [""Message"", ""Content"", ""ContentReasoningText""]"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\message.py","20","class ContentReasoningText(BaseModel):"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\message.py","21","    """"""Reasoning text from the model."""""""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\message.py","24","    """"""The reasoning text from the model."""""""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\message.py","26","    type: Literal[""reasoning_text""]"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\message.py","27","    """"""The type of the reasoning text. Always `reasoning_text`."""""""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\message.py","36","        ContentReasoningText,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\conversations\summary_text_content.py","14","    """"""A summary of the reasoning output from the model so far."""""""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","9","from ..shared.reasoning_effort import ReasoningEffort"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","186","    reasoning_effort: Optional[ReasoningEffort]"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","188","    Constrains effort on reasoning for"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","189","    [reasoning models](https://platform.openai.com/docs/guides/reasoning). Currently"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","191","    Reducing reasoning effort can result in faster responses and fewer tokens used"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","192","    on reasoning in a response."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","194","    - `gpt-5.1` defaults to `none`, which does not perform reasoning. The supported"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","195","      reasoning values for `gpt-5.1` are `none`, `low`, `medium`, and `high`. Tool"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","196","      calls are supported for all reasoning values in gpt-5.1."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","197","    - All models before `gpt-5.1` default to `medium` reasoning effort, and do not"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source_param.py","199","    - The `gpt-5-pro` model defaults to (and only supports) `high` reasoning effort."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","10","from ..shared.reasoning_effort import ReasoningEffort"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","190","    reasoning_effort: Optional[ReasoningEffort] = None"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","192","    Constrains effort on reasoning for"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","193","    [reasoning models](https://platform.openai.com/docs/guides/reasoning). Currently"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","195","    Reducing reasoning effort can result in faster responses and fewer tokens used"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","196","    on reasoning in a response."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","198","    - `gpt-5.1` defaults to `none`, which does not perform reasoning. The supported"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","199","      reasoning values for `gpt-5.1` are `none`, `low`, `medium`, and `high`. Tool"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","200","      calls are supported for all reasoning values in gpt-5.1."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","201","    - All models before `gpt-5.1` default to `medium` reasoning effort, and do not"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\create_eval_completions_run_data_source.py","203","    - The `gpt-5-pro` model defaults to (and only supports) `high` reasoning effort."
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\run_cancel_response.py","14","from ..shared.reasoning_effort import ReasoningEffort"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\run_cancel_response.py","105","    reasoning_effort: Optional[ReasoningEffort] = None"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\run_cancel_response.py","107","    Constrains effort on reasoning for"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\run_cancel_response.py","108","    [reasoning models](https://platform.openai.com/docs/guides/reasoning). Currently"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\evals\run_cancel_response.py","110","    Reducing reasoning effort can result in faster responses and fewer tokens used"
